date,force
1901,3765000
1902,3824000
1903,3875000
1904,3916000
1905,3974000
1906,4032000
1907,4091000
1908,4161000
1909,4232000
1910,4323000
1911,4425000
1912,4573000
1913,4820172
1914,4893000
1915,4971000
1916,4969000
1917,4917000
1918,4982000
1919,5080000
1920,5303000
1921,5411000
1922,5510000
1923,5637000
1924,5755000
1925,5882000
1926,6000000
1927,6124000
1928,6251000
1929,6355000
1930,6436000
1931,6500000
1932,6552000
1933,6603000
1934,6656000
1935,6707000
1936,6755000
1937,6810000
1938,6871000
1939,6935000
1940,7004000
1941,7077000
1942,7143000
1943,7201000
1944,7269000
1945,7347000
1946,7430000
1947,7517000
1948,7637000
1949,7792000
1950,8045000
1951,8307000
1952,8527000
1953,8739000
1954,8902000
1955,9089000
1956,9311000
1957,9530000
1958,9744000
1959,9947000
1960,10160000
1961,10391000
1962,10642000
1963,10846000
1964,11055000
1965,11280000
1966,11505000
1967,11704000
1968,11912000
1969,12145000
1970,12407000
1971,12663000
1972,13067000
1973,13303000
1974,13504000
1975,13722000
1976,13892000
1977,14033000
1978,14192000
1979,14359000
1980,14515000
1981,14695000
1982,14923000
1983,15184000
1984,15393000
1985,15579000
1986,15788000
1987,16018000
1988,16263000
1989,16532000
1990,16814000
1991,17065000
1992,17284000
1993,17494000
1994,17667000
1995,17854000
1996,18071000
1997,18310000
1998,18517000
1999,18711000
2000,18925000
2001,19153000
2002,19413000
2003,19651000
2004,19895000
2005,20127000
2006,20394000
2007,20697000
2008,21015000
2009,21262000
2010,22183000
2011,22340000
2012,22723000
2013,23162000
2014,23413000
2015,23858000
